id,lat,lon,demand,nearest_depot_hint
S0128,55.03247,61.340231,194,Полигон Юг
S0129,55.043791,61.404439,125,Полигон Юг
S0130,55.034881,61.321143,92,Полигон Юг
S0131,55.059154,61.452896,123,Полигон Юг
S0132,55.13829,61.405679,321,Полигон Юг
S0133,54.896,61.404182,346,Полигон Юг
S0134,55.035789,61.375412,104,Полигон Юг
S0135,55.060591,61.552765,110,Полигон Юг
S0136,55.06776,61.299484,190,Полигон Юг
S0137,55.027685,61.119648,60,Полигон Юг
S0138,54.944597,61.480425,121,Полигон Юг
S0139,55.06968,61.27423,98,Полигон Юг
S0140,55.153641,61.330788,120,Полигон Юг
S0141,54.957968,61.450955,60,Полигон Юг
S0142,55.10183,61.159774,38,Полигон Юг
S0143,55.030288,61.194835,29,Полигон Юг
S0144,55.046321,61.159872,51,Полигон Юг
S0145,54.986826,61.240586,76,Полигон Юг
S0146,55.029933,61.363964,83,Полигон Юг
S0147,55.128003,61.372419,318,Полигон Юг
S0148,55.084959,61.347627,193,Полигон Юг
S0149,55.153939,61.178723,56,Полигон Юг
S0150,55.120645,61.08899,123,Полигон Юг
S0151,55.076345,61.325435,78,Полигон Юг
S0152,55.154636,61.272822,84,Полигон Юг
S0153,55.07634,61.365939,111,Полигон Юг
S0154,55.099679,61.390195,144,Полигон Юг
S0155,55.032206,61.333824,81,Полигон Юг
S0156,55.053993,61.396013,188,Полигон Юг
S0157,55.008155,61.342921,50,Полигон Юг
S0158,55.109375,61.373006,100,Полигон Юг
S0159,54.979302,61.249533,473,Полигон Юг
S0160,55.193385,61.752932,41,Полигон Восток
S0161,55.265993,61.79343,151,Полигон Восток
S0162,55.185491,61.765114,341,Полигон Восток
S0163,55.214847,61.683446,110,Полигон Восток
S0164,55.176593,61.850018,81,Полигон Восток
S0165,55.169776,61.833941,91,Полигон Восток
S0166,55.133231,61.744035,144,Полигон Восток
S0167,55.205818,61.694708,35,Полигон Восток
S0168,55.128908,61.814843,110,Полигон Восток
S0169,55.219935,61.778797,79,Полигон Восток
S0170,55.245117,61.615187,301,Полигон Восток
S0171,55.201992,61.753202,90,Полигон Восток
S0172,55.162825,61.786204,271,Полигон Восток
S0173,55.207238,61.670031,51,Полигон Восток
S0174,55.16148,61.778984,142,Полигон Восток
S0175,55.236133,61.614518,120,Полигон Восток
S0176,55.070116,61.893619,59,Полигон Восток
S0177,55.159864,61.884795,111,Полигон Восток
S0178,55.060551,61.734748,206,Полигон Восток
S0179,55.090296,61.796345,82,Полигон Восток
S0180,55.261832,61.519008,36,Полигон Восток
S0181,55.233711,61.644365,98,Полигон Восток
S0182,55.136831,61.730622,58,Полигон Восток
S0183,55.08985,61.652787,81,Полигон Восток
S0184,55.002128,61.83144,95,Полигон Восток
S0185,55.14739,61.95973,36,Полигон Восток
S0186,55.325225,61.642339,38,Полигон Восток
S0187,55.206093,61.676254,133,Полигон Восток
S0188,55.146426,61.783545,73,Полигон Восток
S0189,55.207905,61.921112,21,Полигон Восток
S0190,55.086342,61.637763,159,Полигон Восток
S0191,55.162161,61.784904,117,Полигон Восток
S0192,55.185969,61.94213,65,Полигон Восток
S0193,55.174834,61.594824,45,Полигон Восток
S0194,55.227448,61.631893,164,Полигон Восток
S0195,55.200679,61.717639,123,Полигон Восток
S0196,55.2201,61.707941,416,Полигон Восток
S0197,55.138698,61.84126,128,Полигон Восток
S0198,55.233869,61.784166,126,Полигон Восток
S0199,55.277736,61.582504,90,Полигон Восток
S0200,55.121791,61.811541,162,Полигон Восток
S0201,55.126738,61.702246,145,Полигон Восток
S0202,55.260147,61.887445,211,Полигон Восток
S0203,55.168519,61.697241,73,Полигон Восток
S0204,55.264229,61.696338,77,Полигон Восток
S0205,55.153448,61.814113,75,Полигон Восток
S0206,55.267303,61.836293,160,Полигон Восток
S0207,55.187889,61.80481,244,Полигон Восток
S0208,55.195494,61.59144,76,Полигон Восток
S0209,55.273883,61.813803,77,Полигон Восток
S0210,55.158294,61.656569,120,Полигон Восток
S0211,55.123533,61.783528,86,Полигон Восток
S0212,55.153086,61.617627,176,Полигон Восток
S0213,55.20714,61.804632,26,Полигон Восток
S0214,55.086054,61.67934,61,Полигон Восток
S0215,55.218248,61.631737,62,Полигон Восток
S0216,55.147674,61.831382,25,Полигон Восток
S0217,55.248869,61.784164,56,Полигон Восток
S0218,55.036344,61.698602,57,Полигон Восток
S0219,55.132806,61.905118,88,Полигон Восток
S0220,55.078812,61.715935,194,Полигон Восток
S0221,55.130426,61.763211,86,Полигон Восток
S0222,55.19486,61.786891,54,Полигон Восток
S0223,55.169246,61.698033,96,Полигон Восток
S0224,55.164797,61.807114,187,Полигон Восток
S0225,55.170449,61.706655,55,Полигон Восток
S0226,55.192203,61.718836,58,Полигон Восток
S0227,55.119488,61.896264,139,Полигон Восток
S0228,55.222411,61.655941,87,Полигон Восток
S0229,55.21976,61.518722,147,Полигон Восток
S0230,55.203102,61.921094,99,Полигон Восток
S0231,55.213392,62.014933,152,Полигон Восток
S0232,55.197785,61.719473,53,Полигон Восток
S0233,55.302104,61.566316,99,Полигон Восток
S0234,55.174774,61.728952,88,Полигон Восток
S0235,55.161575,61.731378,48,Полигон Восток
S0236,55.134788,61.741008,39,Полигон Восток
S0237,55.118064,61.648661,150,Полигон Восток
S0238,55.105332,61.817956,81,Полигон Восток
S0239,55.126672,61.812451,54,Полигон Восток
